date,spp,actb,value
78-03,AKEP,TWKO,0.0204081632653061
78-03,AKEP,SBOH,0.0244897959183673
78-03,AKEP,SBNAIO,0
78-03,AKEP,SBKO,0
78-03,AKEP,BROH,0.00408163265306122
78-03,AKEP,BRNAIO,0
78-03,AKEP,BRKO,0
78-03,AKEP,TROH,0
78-03,AKEP,OTOT,0.0204081632653061
78-04,AKEP,FLOH,0.0605263157894737
78-04,AKEP,FLNAIO,0
78-04,AKEP,FRNAIO,0
78-04,AKEP,FROL,0
78-04,AKEP,TBOH,0.41859649122807
78-04,AKEP,TWOH,0.149122807017544
78-04,AKEP,TWNAIO,0.0807017543859649
78-04,AKEP,TWKO,0.0719298245614035
78-04,AKEP,SBOH,0.128070175438597
78-04,AKEP,SBNAIO,0.0175438596491228
78-04,AKEP,SBKO,0.0175438596491228
78-04,AKEP,BROH,0.00175438596491228
78-04,AKEP,BRNAIO,0
78-04,AKEP,BRKO,0.0401754385964912
78-04,AKEP,TROH,0
78-04,AKEP,OTOT,0.0140350877192982
78-05,AKEP,FLOH,0.10625
78-05,AKEP,FLNAIO,0
78-05,AKEP,FRNAIO,0
78-05,AKEP,FROL,0
78-05,AKEP,TBOH,0.50625
78-05,AKEP,TWOH,0.10625
78-05,AKEP,TWNAIO,0.0833333333333333
78-05,AKEP,TWKO,0.102083333333333
78-05,AKEP,SBOH,0.0333333333333333
78-05,AKEP,SBNAIO,0.0208333333333333
78-05,AKEP,SBKO,0.0208333333333333
78-05,AKEP,BROH,0
78-05,AKEP,BRNAIO,0
78-05,AKEP,BRKO,0
78-05,AKEP,TROH,0
78-05,AKEP,OTOT,0.0208333333333333
78-06,AKEP,FLOH,0.00955555555555555
78-06,AKEP,FLNAIO,0
78-06,AKEP,FRNAIO,0
78-06,AKEP,FROL,0
78-06,AKEP,TBOH,0.828222222222222
78-06,AKEP,TWOH,0.0955555555555556
78-06,AKEP,TWNAIO,0
78-06,AKEP,TWKO,0
78-06,AKEP,SBOH,0.0222222222222222
78-06,AKEP,SBNAIO,0
78-06,AKEP,SBKO,0.0222222222222222
78-06,AKEP,BROH,0
78-06,AKEP,BRNAIO,0
78-06,AKEP,BRKO,0
78-06,AKEP,TROH,0
78-06,AKEP,OTOT,0.0222222222222222
78-07,AKEP,FLOH,0.00964912280701754
78-07,AKEP,FLNAIO,0
78-07,AKEP,FRNAIO,0
78-07,AKEP,FROL,0
78-07,AKEP,TBOH,0.286842105263158
78-07,AKEP,TWOH,0.585964912280702
78-07,AKEP,TWNAIO,0.012280701754386
78-07,AKEP,TWKO,0.0701754385964912
78-07,AKEP,SBOH,0.0350877192982456
78-07,AKEP,SBNAIO,0
78-07,AKEP,SBKO,0
78-07,AKEP,BROH,0
78-07,AKEP,BRNAIO,0
78-07,AKEP,BRKO,0
78-07,AKEP,TROH,0
78-07,AKEP,OTOT,0
78-08,AKEP,FLOH,0
78-08,AKEP,FLNAIO,0
78-08,AKEP,FRNAIO,0
78-08,AKEP,FROL,0
78-08,AKEP,TBOH,0.644927536231884
78-08,AKEP,TWOH,0.246376811594203
78-08,AKEP,TWNAIO,0.0144927536231884
78-08,AKEP,TWKO,0.0507246376811594
78-08,AKEP,SBOH,0.0144927536231884
78-08,AKEP,SBNAIO,0
78-08,AKEP,SBKO,0
78-08,AKEP,BROH,0
78-08,AKEP,BRNAIO,0
78-08,AKEP,BRKO,0
78-08,AKEP,TROH,0
78-08,AKEP,OTOT,0.0289855072463768
78-09,AKEP,FLOH,0
78-09,AKEP,FLNAIO,0
78-09,AKEP,FRNAIO,0
78-09,AKEP,FROL,0
78-09,AKEP,TBOH,0.643617021276596
78-09,AKEP,TWOH,0.292553191489362
78-09,AKEP,TWNAIO,0
78-09,AKEP,TWKO,0.0297872340425532
78-09,AKEP,SBOH,0
78-09,AKEP,SBNAIO,0
78-09,AKEP,SBKO,0
78-09,AKEP,BROH,0
78-09,AKEP,BRNAIO,0
78-09,AKEP,BRKO,0
78-09,AKEP,TROH,0
78-09,AKEP,OTOT,0.0340425531914894
78-10,AKEP,FLOH,0.0301587301587302
78-10,AKEP,FLNAIO,0
78-10,AKEP,FRNAIO,0
78-10,AKEP,FROL,0
78-10,AKEP,TBOH,0.541269841269841
78-10,AKEP,TWOH,0.393650793650794
78-10,AKEP,TWNAIO,0
78-10,AKEP,TWKO,0.0119047619047619
78-10,AKEP,SBOH,0.019047619047619
78-10,AKEP,SBNAIO,0
78-10,AKEP,SBKO,0
78-10,AKEP,BROH,0
78-10,AKEP,BRNAIO,0
78-10,AKEP,BRKO,0
78-10,AKEP,TROH,0
78-10,AKEP,OTOT,0.00396825396825397
78-11,AKEP,FLOH,0.0588235294117647
78-11,AKEP,FLNAIO,0
78-11,AKEP,FRNAIO,0
78-11,AKEP,FROL,0
78-11,AKEP,TBOH,0.406617647058824
78-11,AKEP,TWOH,0.458088235294118
78-11,AKEP,TWNAIO,0
78-11,AKEP,TWKO,0.0419117647058823
78-11,AKEP,SBOH,0.00294117647058824
78-11,AKEP,SBNAIO,0
78-11,AKEP,SBKO,0.00220588235294118
78-11,AKEP,BROH,0
78-11,AKEP,BRNAIO,0
78-11,AKEP,BRKO,0
78-11,AKEP,TROH,0
78-11,AKEP,OTOT,0.0294117647058824
78-12,AKEP,FLOH,0.00476190476190476
78-12,AKEP,FLNAIO,0
78-12,AKEP,FRNAIO,0
78-12,AKEP,FROL,0
78-12,AKEP,TBOH,0.442857142857143
78-12,AKEP,TWOH,0.378571428571429
78-12,AKEP,TWNAIO,0.0357142857142857
78-12,AKEP,TWKO,0.0285714285714286
78-12,AKEP,SBOH,0.0142857142857143
78-12,AKEP,SBNAIO,0
78-12,AKEP,SBKO,0
78-12,AKEP,BROH,0
78-12,AKEP,BRNAIO,0
78-12,AKEP,BRKO,0
78-12,AKEP,TROH,0
78-12,AKEP,OTOT,0.0952380952380952
79-01,AKEP,FLOH,0.0398936170212766
79-01,AKEP,FLNAIO,0
79-01,AKEP,FRNAIO,0
79-01,AKEP,FROL,0
79-01,AKEP,TBOH,0.345744680851064
79-01,AKEP,TWOH,0.348404255319149
79-01,AKEP,TWNAIO,0
79-01,AKEP,TWKO,0
79-01,AKEP,SBOH,0
79-01,AKEP,SBNAIO,0
79-01,AKEP,SBKO,0
79-01,AKEP,BROH,0
79-01,AKEP,BRNAIO,0
79-01,AKEP,BRKO,0
79-01,AKEP,TROH,0
79-01,AKEP,OTOT,0.265957446808511
79-02,AKEP,FLOH,0
79-02,AKEP,FLNAIO,0
79-02,AKEP,FRNAIO,0
79-02,AKEP,FROL,0
79-02,AKEP,TBOH,0.290322580645161
79-02,AKEP,TWOH,0.470967741935484
79-02,AKEP,TWNAIO,0
79-02,AKEP,TWKO,0.145161290322581
79-02,AKEP,SBOH,0
79-02,AKEP,SBNAIO,0.0129032258064516
79-02,AKEP,SBKO,0
79-02,AKEP,BROH,0
79-02,AKEP,BRNAIO,0
79-02,AKEP,BRKO,0
79-02,AKEP,TROH,0
79-02,AKEP,OTOT,0.0806451612903226
79-03,AKEP,FLOH,0.0272727272727273
79-03,AKEP,FLNAIO,0
79-03,AKEP,FRNAIO,0
79-03,AKEP,FROL,0
79-03,AKEP,TBOH,0.511818181818182
79-03,AKEP,TWOH,0.236363636363636
79-03,AKEP,TWNAIO,0.0454545454545455
79-03,AKEP,TWKO,0.0618181818181818
79-03,AKEP,SBOH,0.0818181818181818
79-03,AKEP,SBNAIO,0
79-03,AKEP,SBKO,0.0172727272727273
79-03,AKEP,BROH,0.0181818181818182
79-03,AKEP,BRNAIO,0
79-03,AKEP,BRKO,0
79-03,AKEP,TROH,0
79-03,AKEP,OTOT,0
79-04,AKEP,FLOH,0
79-04,AKEP,FLNAIO,0
79-04,AKEP,FRNAIO,0
79-04,AKEP,FROL,0
79-04,AKEP,TBOH,0.446808510638298
79-04,AKEP,TWOH,0.362765957446809
79-04,AKEP,TWNAIO,0.0308510638297872
79-04,AKEP,TWKO,0.0872340425531915
79-04,AKEP,SBOH,0.0212765957446809
79-04,AKEP,SBNAIO,0
79-04,AKEP,SBKO,0
79-04,AKEP,BROH,0
79-04,AKEP,BRNAIO,0
79-04,AKEP,BRKO,0.00851063829787234
79-04,AKEP,TROH,0
79-04,AKEP,OTOT,0.0425531914893617
79-05,AKEP,FLOH,0.00307219662058372
79-05,AKEP,FLNAIO,0
79-05,AKEP,FRNAIO,0
79-05,AKEP,FROL,0
79-05,AKEP,TBOH,0.725038402457757
79-05,AKEP,TWOH,0.235023041474654
79-05,AKEP,TWNAIO,0.0307219662058372
79-05,AKEP,TWKO,0
79-05,AKEP,SBOH,0
79-05,AKEP,SBNAIO,0
79-05,AKEP,SBKO,0.00614439324116743
79-05,AKEP,BROH,0
79-05,AKEP,BRNAIO,0
79-05,AKEP,BRKO,0
79-05,AKEP,TROH,0
79-05,AKEP,OTOT,0
79-07,AKEP,FLOH,0
79-07,AKEP,FLNAIO,0
79-07,AKEP,FRNAIO,0
79-07,AKEP,FROL,0
79-07,AKEP,TBOH,0.629166666666667
79-07,AKEP,TWOH,0.222916666666667
79-07,AKEP,TWNAIO,0.0208333333333333
79-07,AKEP,TWKO,0.09375
79-07,AKEP,SBOH,0
79-07,AKEP,SBNAIO,0
79-07,AKEP,SBKO,0
79-07,AKEP,BROH,0.00208333333333333
79-07,AKEP,BRNAIO,0
79-07,AKEP,BRKO,0
79-07,AKEP,TROH,0
79-07,AKEP,OTOT,0.03125
79-08,AKEP,FLOH,0
79-08,AKEP,FLNAIO,0
79-08,AKEP,FRNAIO,0
79-08,AKEP,FROL,0
79-08,AKEP,TBOH,0.673214285714286
79-08,AKEP,TWOH,0.201785714285714
79-08,AKEP,TWNAIO,0.0178571428571429
79-08,AKEP,TWKO,0.0705357142857143
79-08,AKEP,SBOH,0
79-08,AKEP,SBNAIO,0
79-08,AKEP,SBKO,0.00446428571428571
79-08,AKEP,BROH,0
79-08,AKEP,BRNAIO,0
79-08,AKEP,BRKO,0
79-08,AKEP,TROH,0
79-08,AKEP,OTOT,0.0321428571428571
79-09,AKEP,FLOH,0
79-09,AKEP,FLNAIO,0
79-09,AKEP,FRNAIO,0
79-09,AKEP,FROL,0
79-09,AKEP,TBOH,0.552222222222222
79-09,AKEP,TWOH,0.37
79-09,AKEP,TWNAIO,0.0222222222222222
79-09,AKEP,TWKO,0.0222222222222222
79-09,AKEP,SBOH,0.0333333333333333
79-09,AKEP,SBNAIO,0
79-09,AKEP,SBKO,0
79-09,AKEP,BROH,0
79-09,AKEP,BRNAIO,0
79-09,AKEP,BRKO,0
79-09,AKEP,TROH,0
79-09,AKEP,OTOT,0
79-10,AKEP,FLOH,0
79-10,AKEP,FLNAIO,0
79-10,AKEP,FRNAIO,0
79-10,AKEP,FROL,0
79-10,AKEP,TBOH,0.499090909090909
79-10,AKEP,TWOH,0.350909090909091
79-10,AKEP,TWNAIO,0.0309090909090909
79-10,AKEP,TWKO,0.0545454545454545
79-10,AKEP,SBOH,0.0418181818181818
79-10,AKEP,SBNAIO,0
79-10,AKEP,SBKO,0
79-10,AKEP,BROH,0
79-10,AKEP,BRNAIO,0
79-10,AKEP,BRKO,0
79-10,AKEP,TROH,0
79-10,AKEP,OTOT,0.0227272727272727
79-11,AKEP,FLOH,0
79-11,AKEP,FLNAIO,0
79-11,AKEP,FRNAIO,0
79-11,AKEP,FROL,0
79-11,AKEP,TBOH,0.346610169491525
79-11,AKEP,TWOH,0.636440677966102
79-11,AKEP,TWNAIO,0
79-11,AKEP,TWKO,0
79-11,AKEP,SBOH,0.011864406779661
79-11,AKEP,SBNAIO,0.00508474576271186
79-11,AKEP,SBKO,0
79-11,AKEP,BROH,0
79-11,AKEP,BRNAIO,0
79-11,AKEP,BRKO,0
79-11,AKEP,TROH,0
79-11,AKEP,OTOT,0
79-12,AKEP,FLOH,0
79-12,AKEP,FLNAIO,0
79-12,AKEP,FRNAIO,0.00645161290322581
79-12,AKEP,FROL,0
79-12,AKEP,TBOH,0.245161290322581
79-12,AKEP,TWOH,0.432258064516129
79-12,AKEP,TWNAIO,0.0580645161290323
79-12,AKEP,TWKO,0.0419354838709677
79-12,AKEP,SBOH,0
79-12,AKEP,SBNAIO,0.032258064516129
79-12,AKEP,SBKO,0
79-12,AKEP,BROH,0
79-12,AKEP,BRNAIO,0
79-12,AKEP,BRKO,0.0419354838709677
79-12,AKEP,TROH,0
79-12,AKEP,OTOT,0.141935483870968
80-01,AKEP,FLOH,0.0344827586206897
80-01,AKEP,FLNAIO,0
80-01,AKEP,FRNAIO,0
80-01,AKEP,FROL,0
80-01,AKEP,TBOH,0.368965517241379
80-01,AKEP,TWOH,0.4
80-01,AKEP,TWNAIO,0.0344827586206897
80-01,AKEP,TWKO,0.0344827586206897
80-01,AKEP,SBOH,0.0379310344827586
80-01,AKEP,SBNAIO,0.0344827586206897
80-01,AKEP,SBKO,0
80-01,AKEP,BROH,0.0206896551724138
80-01,AKEP,BRNAIO,0
80-01,AKEP,BRKO,0
80-01,AKEP,TROH,0
80-01,AKEP,OTOT,0.0344827586206897
80-02,AKEP,FLOH,0.0485714285714286
80-02,AKEP,FLNAIO,0
80-02,AKEP,FRNAIO,0
80-02,AKEP,FROL,0
80-02,AKEP,TBOH,0.171428571428571
80-02,AKEP,TWOH,0.588571428571429
80-02,AKEP,TWNAIO,0.0285714285714286
80-02,AKEP,TWKO,0.122857142857143
80-02,AKEP,SBOH,0.0285714285714286
80-02,AKEP,SBNAIO,0
80-02,AKEP,SBKO,0
80-02,AKEP,BROH,0.0114285714285714
80-02,AKEP,BRNAIO,0
80-02,AKEP,BRKO,0
80-02,AKEP,TROH,0
80-02,AKEP,OTOT,0
80-03,AKEP,FLOH,0.025
80-03,AKEP,FLNAIO,0
80-03,AKEP,FRNAIO,0
80-03,AKEP,FROL,0
80-03,AKEP,TBOH,0.462
80-03,AKEP,TWOH,0.2055
80-03,AKEP,TWNAIO,0.05
80-03,AKEP,TWKO,0.05
80-03,AKEP,SBOH,0.0525
80-03,AKEP,SBNAIO,0.055
80-03,AKEP,SBKO,0
80-03,AKEP,BROH,0
80-03,AKEP,BRNAIO,0
80-03,AKEP,BRKO,0
80-03,AKEP,TROH,0
80-03,AKEP,OTOT,0.1
80-04,AKEP,FLOH,0.0847826086956522
80-04,AKEP,FLNAIO,0
80-04,AKEP,FRNAIO,0
80-04,AKEP,FROL,0
80-04,AKEP,TBOH,0.306521739130435
80-04,AKEP,TWOH,0.443478260869565
80-04,AKEP,TWNAIO,0.130434782608696
80-04,AKEP,TWKO,0
80-04,AKEP,SBOH,0.0347826086956522
80-04,AKEP,SBNAIO,0
80-04,AKEP,SBKO,0
80-04,AKEP,BROH,0
80-04,AKEP,BRNAIO,0
80-04,AKEP,BRKO,0
80-04,AKEP,TROH,0
80-04,AKEP,OTOT,0
80-05,AKEP,FLOH,0.0147058823529412
80-05,AKEP,FLNAIO,0
80-05,AKEP,FRNAIO,0
80-05,AKEP,FROL,0
80-05,AKEP,TBOH,0.170588235294118
80-05,AKEP,TWOH,0.755882352941176
80-05,AKEP,TWNAIO,0.0588235294117647
80-05,AKEP,TWKO,0
80-05,AKEP,SBOH,0
80-05,AKEP,SBNAIO,0
80-05,AKEP,SBKO,0
80-05,AKEP,BROH,0
80-05,AKEP,BRNAIO,0
80-05,AKEP,BRKO,0
80-05,AKEP,TROH,0
80-05,AKEP,OTOT,0
80-06,AKEP,FLOH,0.0283783783783784
80-06,AKEP,FLNAIO,0
80-06,AKEP,FRNAIO,0
80-06,AKEP,FROL,0
80-06,AKEP,TBOH,0.551351351351351
80-06,AKEP,TWOH,0.393243243243243
80-06,AKEP,TWNAIO,0
80-06,AKEP,TWKO,0.027027027027027
80-06,AKEP,SBOH,0
80-06,AKEP,SBNAIO,0
80-06,AKEP,SBKO,0
80-06,AKEP,BROH,0
80-06,AKEP,BRNAIO,0
80-06,AKEP,BRKO,0
80-06,AKEP,TROH,0
80-06,AKEP,OTOT,0
80-07,AKEP,FLOH,0
80-07,AKEP,FLNAIO,0
80-07,AKEP,FRNAIO,0
80-07,AKEP,FROL,0
80-07,AKEP,TBOH,0.181481481481481
80-07,AKEP,TWOH,0.701851851851852
80-07,AKEP,TWNAIO,0
80-07,AKEP,TWKO,0.0240740740740741
80-07,AKEP,SBOH,0.0388888888888889
80-07,AKEP,SBNAIO,0.0185185185185185
80-07,AKEP,SBKO,0.012962962962963
80-07,AKEP,BROH,0.0185185185185185
80-07,AKEP,BRNAIO,0.0037037037037037
80-07,AKEP,BRKO,0
80-07,AKEP,TROH,0
80-07,AKEP,OTOT,0
80-08,AKEP,FLOH,0
80-08,AKEP,FLNAIO,0
80-08,AKEP,FRNAIO,0
80-08,AKEP,FROL,0
80-08,AKEP,TBOH,0.28974358974359
80-08,AKEP,TWOH,0.635897435897436
80-08,AKEP,TWNAIO,0.0256410256410256
80-08,AKEP,TWKO,0
80-08,AKEP,SBOH,0.0153846153846154
80-08,AKEP,SBNAIO,0
80-08,AKEP,SBKO,0
80-08,AKEP,BROH,0.00256410256410256
80-08,AKEP,BRNAIO,0
80-08,AKEP,BRKO,0.00512820512820513
80-08,AKEP,TROH,0
80-08,AKEP,OTOT,0.0256410256410256
80-09,AKEP,FLOH,0
80-09,AKEP,FLNAIO,0.025
80-09,AKEP,FRNAIO,0
80-09,AKEP,FROL,0
80-09,AKEP,TBOH,0.58625
80-09,AKEP,TWOH,0.295
80-09,AKEP,TWNAIO,0
80-09,AKEP,TWKO,0.025
80-09,AKEP,SBOH,0.015
80-09,AKEP,SBNAIO,0.025
80-09,AKEP,SBKO,0.00625
80-09,AKEP,BROH,0
80-09,AKEP,BRNAIO,0
80-09,AKEP,BRKO,0
80-09,AKEP,TROH,0.0225
80-09,AKEP,OTOT,0
80-10,AKEP,FLOH,0
80-10,AKEP,FLNAIO,0
80-10,AKEP,FRNAIO,0
80-10,AKEP,FROL,0
80-10,AKEP,TBOH,0.227586206896552
80-10,AKEP,TWOH,0.720689655172414
80-10,AKEP,TWNAIO,0
80-10,AKEP,TWKO,0
80-10,AKEP,SBOH,0.0517241379310345
80-10,AKEP,SBNAIO,0
80-10,AKEP,SBKO,0
80-10,AKEP,BROH,0
80-10,AKEP,BRNAIO,0
80-10,AKEP,BRKO,0
